id	operation	left_hex	right_hex	precision	scale	rounding	outcome	expected_hex
decimal-001	parse	30	-	1	0	-	value	30
decimal-002	parse	2d30	-	1	0	-	value	30
decimal-003	parse	2d302e3030	-	2	2	-	value	302e3030
decimal-004	parse	31322e35	-	8	3	-	value	31322e353030
decimal-005	parse	30	-	65	65	-	value	302e3030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030303030
decimal-006	parse	3939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939	-	65	0	-	value	3939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939
decimal-007	parse	2d312e32	-	3	1	-	value	2d312e32
decimal-008	parse	2b31	-	2	0	-	invalid_argument	-
decimal-009	parse	3031	-	2	0	-	invalid_argument	-
decimal-010	parse	312e	-	2	0	-	invalid_argument	-
decimal-011	parse	2e31	-	2	1	-	invalid_argument	-
decimal-012	parse	316532	-	4	0	-	invalid_argument	-
decimal-013	parse	2031	-	2	0	-	invalid_argument	-
decimal-014	parse	310a	-	2	0	-	invalid_argument	-
decimal-015	parse	3100	-	2	0	-	invalid_argument	-
decimal-016	parse		-	1	0	-	invalid_argument	-
decimal-017	parse	312e3031	-	3	1	-	invalid_argument	-
decimal-018	parse	3130	-	2	1	-	invalid_argument	-
decimal-019	parse	31	-	0	0	-	invalid_argument	-
decimal-020	parse	31	-	66	0	-	invalid_argument	-
decimal-021	parse	31	-	2	-1	-	invalid_argument	-
decimal-022	parse	31	-	2	3	-	invalid_argument	-
decimal-023	parse	393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939	-	65	0	-	invalid_argument	-
decimal-024	compare	312e3030	312e3030	-	-	-	value	30
decimal-025	compare	2d322e3030	312e3030	-	-	-	value	2d31
decimal-026	compare	2d322e3030	2d332e3030	-	-	-	value	31
decimal-027	compare	30	2d30	-	-	-	value	30
decimal-028	compare	393939393939393939393939393939393939393939393939393939393939	31303030303030303030303030303030303030303030303030303030303030	-	-	-	value	2d31
decimal-029	compare	2d3939393939393939393939393939393939393939	2d3939393939393939393939393939393939393938	-	-	-	value	2d31
decimal-030	compare	312e30	312e3030	-	-	-	invalid_argument	-
decimal-031	multiply	32353030302e3030	302e3034393338323430	-	-	-	value	313233342e35363030303030303030
decimal-032	multiply	32352e30303030	302e3435333539323337	-	-	-	value	31312e333339383039323530303030
decimal-033	multiply	2d32353030302e3030	302e3034393338323430	-	-	-	value	2d313233342e35363030303030303030
decimal-034	multiply	2d322e3530	2d342e30	-	-	-	value	31302e303030
decimal-035	multiply	302e3030	3939392e303030	-	-	-	value	302e3030303030
decimal-036	multiply	3132333435363738393031323334353637383930	39	-	-	-	value	313131313131313130313131313131313131303130
decimal-037	multiply	3939393939393939393939393939393939393939	3939393939393939393939393939393939393939	-	-	-	value	39393939393939393939393939393939393939383030303030303030303030303030303030303031
decimal-038	multiply	302e3131313131313131313131313131313131313131313131313131313131313131	302e323232323232323232323232323232323232323232323232323232323232323232	-	-	-	value	302e3032343639313335383032343639313335383032343639313335383032343639313038363431393735333038363431393735333038363431393735333038363432
decimal-039	multiply	393939393939393939393939393939393939393939393939393939393939393939	393939393939393939393939393939393939393939393939393939393939393939	-	-	-	invalid_argument	-
decimal-040	multiply	302e313131313131313131313131313131313131313131313131313131313131313131	302e313131313131313131313131313131313131313131313131313131313131313131	-	-	-	invalid_argument	-
decimal-041	round	312e32323439	-	8	2	half_up	value	312e3232
decimal-042	round	312e32323530	-	8	2	half_up	value	312e3233
decimal-043	round	312e32323531	-	8	2	half_up	value	312e3233
decimal-044	round	312e32333530	-	8	2	half_up	value	312e3234
decimal-045	round	2d312e32323439	-	8	2	half_up	value	2d312e3232
decimal-046	round	2d312e32323530	-	8	2	half_up	value	2d312e3233
decimal-047	round	2d312e32323531	-	8	2	half_up	value	2d312e3233
decimal-048	round	2d312e32333530	-	8	2	half_up	value	2d312e3234
decimal-049	round	392e39393939	-	8	2	half_up	value	31302e3030
decimal-050	round	2d302e30303439	-	8	2	half_up	value	302e3030
decimal-051	round	302e30303030	-	8	2	half_up	value	302e3030
decimal-052	round	312e32323439	-	8	2	half_down	value	312e3232
decimal-053	round	312e32323530	-	8	2	half_down	value	312e3232
decimal-054	round	312e32323531	-	8	2	half_down	value	312e3233
decimal-055	round	312e32333530	-	8	2	half_down	value	312e3233
decimal-056	round	2d312e32323439	-	8	2	half_down	value	2d312e3232
decimal-057	round	2d312e32323530	-	8	2	half_down	value	2d312e3232
decimal-058	round	2d312e32323531	-	8	2	half_down	value	2d312e3233
decimal-059	round	2d312e32333530	-	8	2	half_down	value	2d312e3233
decimal-060	round	392e39393939	-	8	2	half_down	value	31302e3030
decimal-061	round	2d302e30303439	-	8	2	half_down	value	302e3030
decimal-062	round	302e30303030	-	8	2	half_down	value	302e3030
decimal-063	round	312e32323439	-	8	2	half_even	value	312e3232
decimal-064	round	312e32323530	-	8	2	half_even	value	312e3232
decimal-065	round	312e32323531	-	8	2	half_even	value	312e3233
decimal-066	round	312e32333530	-	8	2	half_even	value	312e3234
decimal-067	round	2d312e32323439	-	8	2	half_even	value	2d312e3232
decimal-068	round	2d312e32323530	-	8	2	half_even	value	2d312e3232
decimal-069	round	2d312e32323531	-	8	2	half_even	value	2d312e3233
decimal-070	round	2d312e32333530	-	8	2	half_even	value	2d312e3234
decimal-071	round	392e39393939	-	8	2	half_even	value	31302e3030
decimal-072	round	2d302e30303439	-	8	2	half_even	value	302e3030
decimal-073	round	302e30303030	-	8	2	half_even	value	302e3030
decimal-074	round	312e32323439	-	8	2	ceiling	value	312e3233
decimal-075	round	312e32323530	-	8	2	ceiling	value	312e3233
decimal-076	round	312e32323531	-	8	2	ceiling	value	312e3233
decimal-077	round	312e32333530	-	8	2	ceiling	value	312e3234
decimal-078	round	2d312e32323439	-	8	2	ceiling	value	2d312e3232
decimal-079	round	2d312e32323530	-	8	2	ceiling	value	2d312e3232
decimal-080	round	2d312e32323531	-	8	2	ceiling	value	2d312e3232
decimal-081	round	2d312e32333530	-	8	2	ceiling	value	2d312e3233
decimal-082	round	392e39393939	-	8	2	ceiling	value	31302e3030
decimal-083	round	2d302e30303439	-	8	2	ceiling	value	302e3030
decimal-084	round	302e30303030	-	8	2	ceiling	value	302e3030
decimal-085	round	312e32323439	-	8	2	floor	value	312e3232
decimal-086	round	312e32323530	-	8	2	floor	value	312e3232
decimal-087	round	312e32323531	-	8	2	floor	value	312e3232
decimal-088	round	312e32333530	-	8	2	floor	value	312e3233
decimal-089	round	2d312e32323439	-	8	2	floor	value	2d312e3233
decimal-090	round	2d312e32323530	-	8	2	floor	value	2d312e3233
decimal-091	round	2d312e32323531	-	8	2	floor	value	2d312e3233
decimal-092	round	2d312e32333530	-	8	2	floor	value	2d312e3234
decimal-093	round	392e39393939	-	8	2	floor	value	392e3939
decimal-094	round	2d302e30303439	-	8	2	floor	value	2d302e3031
decimal-095	round	302e30303030	-	8	2	floor	value	302e3030
decimal-096	round	312e32323439	-	8	2	truncate	value	312e3232
decimal-097	round	312e32323530	-	8	2	truncate	value	312e3232
